Season,BattingTeam,total_run
2012,Chennai Super Kings,2208
2012,Deccan Chargers,2055
2012,Delhi Daredevils,2288
2012,Kings XI Punjab,1970
2012,Kolkata Knight Riders,1963
2012,Mumbai Indians,1907
2012,Pune Warriors,1911
2012,Rajasthan Royals,1860
2012,Royal Challengers Bangalore,1987
2013,Chennai Super Kings,2778
2013,Delhi Daredevils,2245
2013,Kings XI Punjab,2428
2013,Kolkata Knight Riders,2290
2013,Mumbai Indians,2975
2013,Pune Warriors,2262
2013,Rajasthan Royals,2705
2013,Royal Challengers Bangalore,2601
2013,Sunrisers Hyderabad,2318
2014,Chennai Super Kings,2650
2014,Delhi Daredevils,2081
2014,Kings XI Punjab,2987
2014,Kolkata Knight Riders,2499
2014,Mumbai Indians,2353
2014,Rajasthan Royals,2166
2014,Royal Challengers Bangalore,2093
2014,Sunrisers Hyderabad,2102
2015,Chennai Super Kings,2725
2015,Delhi Daredevils,2168
2015,Kings XI Punjab,2018
2015,Kolkata Knight Riders,2044
2015,Mumbai Indians,2734
2015,Rajasthan Royals,2143
2015,Royal Challengers Bangalore,2311
2015,Sunrisers Hyderabad,2210
2016,Delhi Daredevils,2104
2016,Gujarat Lions,2450
2016,Kings XI Punjab,2134
2016,Kolkata Knight Riders,2263
2016,Mumbai Indians,2194
2016,Rising Pune Supergiants,2063
2016,Royal Challengers Bangalore,2981
2016,Sunrisers Hyderabad,2673
2017,Delhi Daredevils,2219
2017,Gujarat Lions,2412
2017,Kings XI Punjab,2207
2017,Kolkata Knight Riders,2484
2017,Mumbai Indians,2800
2017,Rising Pune Supergiant,2470
2017,Royal Challengers Bangalore,1845
2017,Sunrisers Hyderabad,2349
2018,Chennai Super Kings,1845
2018,Delhi Daredevils,1805
2018,Kings XI Punjab,1572
2018,Kolkata Knight Riders,1867
2018,Mumbai Indians,1863
2018,Rajasthan Royals,1559
2018,Royal Challengers Bangalore,1691
2018,Sunrisers Hyderabad,1675
2007/08,Chennai Super Kings,2520
2007/08,Deccan Chargers,2229
2007/08,Delhi Daredevils,2118
2007/08,Kings XI Punjab,2464
2007/08,Kolkata Knight Riders,1942
2007/08,Mumbai Indians,2080
2007/08,Rajasthan Royals,2601
2007/08,Royal Challengers Bangalore,1983
2009,Chennai Super Kings,2231
2009,Deccan Chargers,2408
2009,Delhi Daredevils,2131
2009,Kings XI Punjab,1928
2009,Kolkata Knight Riders,1772
2009,Mumbai Indians,1897
2009,Rajasthan Royals,1706
2009,Royal Challengers Bangalore,2280
2009/10,Chennai Super Kings,2604
2009/10,Deccan Chargers,2374
2009/10,Delhi Daredevils,2155
2009/10,Kings XI Punjab,2288
2009/10,Kolkata Knight Riders,2144
2009/10,Mumbai Indians,2738
2009/10,Rajasthan Royals,2179
2009/10,Royal Challengers Bangalore,2401
2011,Chennai Super Kings,2560
2011,Deccan Chargers,2140
2011,Delhi Daredevils,2087
2011,Kings XI Punjab,2224
2011,Kochi Tuskers Kerala,1901
2011,Kolkata Knight Riders,2023
2011,Mumbai Indians,2288
2011,Pune Warriors,1775
2011,Rajasthan Royals,1687
2011,Royal Challengers Bangalore,2469
2012,Chennai Super Kings,623
2012,Deccan Chargers,257
2012,Delhi Daredevils,357
2012,Kings XI Punjab,420
2012,Kolkata Knight Riders,541
2012,Mumbai Indians,555
2012,Pune Warriors,410
2012,Rajasthan Royals,656
2012,Royal Challengers Bangalore,485
2018,Chennai Super Kings,964
2018,Delhi Daredevils,538
2018,Kings XI Punjab,638
2018,Kolkata Knight Riders,892
2018,Mumbai Indians,517
2018,Rajasthan Royals,798
2018,Royal Challengers Bangalore,631
2018,Sunrisers Hyderabad,1046
2019,Chennai Super Kings,2473
2019,Delhi Capitals,2529
2019,Kings XI Punjab,2429
2019,Kolkata Knight Riders,2473
2019,Mumbai Indians,2670
2019,Rajasthan Royals,2194
2019,Royal Challengers Bangalore,2208
2019,Sunrisers Hyderabad,2458
2020/21,Chennai Super Kings,2191
2020/21,Delhi Capitals,2780
2020/21,Kings XI Punjab,2357
2020/21,Kolkata Knight Riders,2222
2020/21,Mumbai Indians,2758
2020/21,Rajasthan Royals,2288
2020/21,Royal Challengers Bangalore,2289
2020/21,Sunrisers Hyderabad,2531
2021,Chennai Super Kings,2733
2021,Delhi Capitals,2495
2021,Kolkata Knight Riders,2559
2021,Mumbai Indians,2117
2021,Punjab Kings,2150
2021,Rajasthan Royals,2196
2021,Royal Challengers Bangalore,2303
2021,Sunrisers Hyderabad,2084
2022,Chennai Super Kings,2288
2022,Delhi Capitals,2341
2022,Gujarat Titans,2663
2022,Kolkata Knight Riders,2223
2022,Lucknow Super Giants,2548
2022,Mumbai Indians,2217
2022,Punjab Kings,2343
2022,Rajasthan Royals,2943
2022,Royal Challengers Bangalore,2632
2022,Sunrisers Hyderabad,2197
