Season,City,Count
2007/08,Bangalore,7
2007/08,Chandigarh,7
2007/08,Chennai,7
2007/08,Delhi,6
2007/08,Hyderabad,7
2007/08,Jaipur,7
2007/08,Kolkata,7
2007/08,Mumbai,10
2009,Bloemfontein,2
2009,Cape Town,7
2009,Centurion,12
2009,Durban,15
2009,East London,3
2009,Johannesburg,8
2009,Kimberley,3
2009,Port Elizabeth,7
2009/10,Ahmedabad,4
2009/10,Bangalore,7
2009/10,Chandigarh,5
2009/10,Chennai,7
2009/10,Cuttack,2
2009/10,Delhi,7
2009/10,Dharamsala,2
2009/10,Jaipur,3
2009/10,Kolkata,7
2009/10,Mumbai,13
2009/10,Nagpur,3
2011,Bangalore,6
2011,Chandigarh,4
2011,Chennai,9
2011,Delhi,7
2011,Dharamsala,3
2011,Hyderabad,7
2011,Indore,2
2011,Jaipur,7
2011,Kochi,5
2011,Kolkata,7
2011,Mumbai,16
2012,Bangalore,8
2012,Chandigarh,6
2012,Chennai,10
2012,Cuttack,2
2012,Delhi,8
2012,Dharamsala,2
2012,Hyderabad,4
2012,Jaipur,8
2012,Kolkata,7
2012,Mumbai,8
2012,Pune,9
2012,Visakhapatnam,2
2013,Bangalore,8
2013,Chandigarh,6
2013,Chennai,8
2013,Delhi,8
2013,Dharamsala,2
2013,Hyderabad,8
2013,Jaipur,8
2013,Kolkata,8
2013,Mumbai,8
2013,Pune,8
2013,Raipur,2
2013,Ranchi,2
2014,Abu Dhabi,7
2014,Ahmedabad,4
2014,Bangalore,6
2014,Chandigarh,3
2014,Cuttack,3
2014,Delhi,5
2014,Hyderabad,4
2014,Kolkata,4
2014,Mumbai,7
2014,Ranchi,4
2015,Ahmedabad,4
2015,Bangalore,7
2015,Chandigarh,4
2015,Chennai,7
2015,Delhi,5
2015,Hyderabad,4
2015,Kolkata,7
2015,Mumbai,11
2015,Pune,4
2015,Raipur,2
2015,Ranchi,1
2015,Visakhapatnam,3
2016,Bangalore,9
2016,Chandigarh,7
2016,Delhi,7
2016,Hyderabad,7
2016,Kanpur,2
2016,Kolkata,7
2016,Mumbai,4
2016,Pune,4
2016,Raipur,2
2016,Rajkot,5
2016,Visakhapatnam,6
2017,Bangalore,7
2017,Bengaluru,1
2017,Chandigarh,4
2017,Delhi,7
2017,Hyderabad,8
2017,Indore,3
2017,Kanpur,2
2017,Kolkata,7
2017,Mumbai,8
2017,Pune,7
2017,Rajkot,5
2018,Bengaluru,7
2018,Chandigarh,3
2018,Chennai,1
2018,Delhi,7
2018,Hyderabad,7
2018,Indore,4
2018,Jaipur,7
2018,Kolkata,9
2018,Mumbai,9
2018,Pune,6
2019,Bengaluru,7
2019,Chandigarh,7
2019,Chennai,8
2019,Delhi,7
2019,Hyderabad,8
2019,Jaipur,7
2019,Kolkata,7
2019,Mumbai,7
2019,Visakhapatnam,2
2020/21,Abu Dhabi,22
2021,Abu Dhabi,8
2021,Ahmedabad,5
2021,Chennai,10
2021,Delhi,4
2021,Dubai,13
2021,Mumbai,10
2021,Sharjah,10
2022,Ahmedabad,2
2022,Kolkata,2
2022,Mumbai,48
2022,Navi Mumbai,9
2022,Pune,13
